number,status,play number,score,year,topic
640,48,23.2y,8.6,2018,2
641,54,31.7y,8,2018,2
642,21,24.5y,7.5,2018,2
643,36,34.7y,7.5,2018,2
644,55,71.4y,8,2018,2
645,30,16.9y,8.6,2018,2
646,30,27.3y,8.3,2018,2
647,24,17.7y,8.6,2018,2
648,30,40.4y,8.1,2018,2
649,56,41.8y,7.9,2018,2
650,21,11.1y,7.4,2018,2
651,48,11.8y,7.5,2018,2
652,28,17.4y,6.7,2018,2
653,30,16.6y,8.3,2018,2
654,30,20.3y,8.9,2018,2
655,45,3.2y,7.1,2018,2
656,50,29.2y,7.8,2018,2
657,32,6.3y,6.4,2018,2
658,20,5.0y,7.5,2018,2
659,36,7.9y,7.5,2018,2
660,45,4.8y,8.2,2018,2
661,54,3.5y,7.5,2018,2
662,40,6.1y,7.8,2018,2
663,36,19.1y,8.2,2018,2
664,28,8.8y,7.5,2018,2
665,24,5.4y,7.7,2018,2
666,11,1.1y,,2018,2
667,24,3.6y,7.9,2018,2
668,40,3.7y,7.5,2018,2
669,28,4.5y,7.4,2018,2
670,38,7886.1w,7.4,2018,2
671,6,2.6y,8.5,2018,2
672,10,1.2y,9.2,2018,2
673,23,7.9y,8.4,2018,2
674,24,1.3y,7.2,2018,2
675,36,3.6y,7.4,2018,2
676,38,3.7y,7.4,2018,2
677,35,2.1y,7.4,2018,2
678,10,702.8w,8.7,2018,2
679,5,2.9y,8.5,2018,2
680,35,2.1y,7.4,2018,2
681,,1926.9w,7.4,2018,2
682,10,6935.5w,8.6,2018,2
683,54,2.7y,7.3,2018,2
684,20,1.6y,7.4,2018,2
685,10,1.3y,7.6,2018,2
686,,3.9y,7.3,2018,2
687,5,4262.1w,8.4,2018,2
688,24,2.5y,7.3,2018,2
689,5,3014.3w,8.7,2018,2
690,,5366.4w,8.3,2018,2
691,24,1.1y,7.3,2018,2
692,30,3511.8w,7.3,2018,2
693,20,1.7y,7.3,2018,2
694,20,9282.0w,7.3,2018,2
695,12,3.4y,7.3,2018,2
696,,6484.0w,7.3,2018,2
